transaction_id,purchase_date,customer_id,gender,age_group,marketing_channel,product_category,device_type,session_duration_min,email_opens_last_30d,click_through_rate,repeat_customer,quantity,purchase_amount_usd
T100022,2025-10-04,C1017,Female,25-34,Social,Electronics,Desktop,4.6,4,0.046,0,2,503.77
T100023,2025-06-10,C1256,Male,25-34,Social,Electronics,Mobile,2.9,3,0.07,1,1,144.6
T100024,2025-11-10,C1077,Male,18-24,Referral,Electronics,Mobile,6.9,2,0.117,1,2,440.91
T100025,2025-01-22,C1174,Female,25-34,Organic Search,Electronics,Desktop,6.7,4,0.093,1,2,304.16
T100026,2025-09-10,C1193,Female,25-34,Email,Electronics,Mobile,5.8,0,0.131,1,1,188.57
T100027,2025-08-24,C1112,Female,25-34,Email,Electronics,Desktop,6.5,2,0.126,0,1,253.93
T100028,2025-12-11,C1113,Male,55+,Paid Search,Fashion,Mobile,3.9,4,0.009,1,1,92.37
T100029,2025-02-18,C1221,Male,25-34,Referral,Electronics,Desktop,2.3,4,0.09,1,2,472.98
T100030,2025-02-28,C1165,Male,45-54,Organic Search,Fitness,Desktop,4.6,2,0.09,0,1,100.12
T100031,2025-06-19,C1318,Female,35-44,Paid Search,Electronics,Mobile,1.7,3,0.081,0,3,691.49
T100032,2025-07-07,C1131,,25-34,Paid Search,Fashion,Mobile,4.3,2,0.069,1,1,67.87
T100033,2025-09-28,C1263,Male,25-34,Organic Search,Fitness,Mobile,7.3,3,0.129,0,4,442.87
T100034,2025-07-09,C1054,Female,18-24,Social,Electronics,Mobile,6.6,3,0.081,1,1,86.52
T100035,2025-06-24,C1130,Female,25-34,Email,Fashion,Desktop,2.1,3,0.005,0,1,68.57
T100036,2025-02-20,C1287,Female,35-44,Referral,Beauty,Desktop,9.1,3,0.069,0,2,90.2
T100037,2025-12-30,C1265,Female,18-24,Organic Search,Fashion,Desktop,6.0,2,0.144,1,2,166.64
T100038,2025-02-24,C1161,Non-binary,25-34,,Beauty,Tablet,3.3,4,0.048,1,1,38.65
T100039,2025-09-01,C1086,Male,25-34,Referral,Fitness,Mobile,5.6,4,0.119,0,2,225.3
T100040,2025-11-16,C1054,Male,55+,Email,Fashion,Mobile,5.0,1,0.113,1,2,182.02
T100041,2025-05-11,C1287,Female,45-54,Referral,Home,Mobile,4.3,1,0.074,0,1,117.21
T100042,2025-11-03,C1177,Female,35-44,Referral,Electronics,Desktop,8.5,2,0.088,0,1,199.25
T100043,2025-05-15,C1007,Male,18-24,Social,Fashion,Mobile,3.7,8,0.08,1,2,205.94
T100044,2025-01-21,,Female,45-54,Social,Home,Desktop,7.0,2,0.066,0,1,91.35
T100045,2025-11-25,C1312,Male,45-54,Paid Search,Beauty,Mobile,,8,0.062,0,1,45.37
T100046,2025-06-16,C1246,Non-binary,35-44,Referral,Electronics,Tablet,6.4,0,0.125,0,2,382.24
T100047,2025-10-01,,Male,55+,Organic Search,Beauty,Tablet,,4,0.077,1,1,39.84
T100048,2025-03-30,C1254,Male,25-34,Social,Fashion,Mobile,7.2,3,0.059,0,1,91.52
T100049,2025-11-12,C1053,Female,55+,Referral,Electronics,Mobile,6.7,4,0.098,1,3,804.75
T100050,2025-01-14,C1248,Female,55+,Referral,Home,Desktop,5.9,7,0.095,1,1,82.3
T100051,2025-08-30,C1238,Female,18-24,Social,Fitness,Mobile,3.8,5,0.037,0,2,211.96
T100052,2025-09-22,C1228,Male,25-34,Paid Search,Fashion,Mobile,3.9,4,0.063,1,2,157.72
T100053,2025-12-12,C1066,Female,55+,Referral,Home,Desktop,7.2,3,0.031,1,1,118.31
T100054,2025-02-22,C1050,Female,18-24,Organic Search,Home,Mobile,3.3,4,0.159,0,1,107.92
T100055,2025-12-06,C1096,Male,35-44,Referral,Fashion,Desktop,2.8,3,0.071,0,1,107.13
T100056,2025-04-02,C1091,Female,55+,Social,Fitness,Desktop,10.1,4,0.062,0,1,136.25
T100057,2025-09-21,C1263,Female,35-44,Paid Search,Electronics,Mobile,5.9,5,0.067,1,1,204.45
T100058,2025-02-04,C1290,Female,25-34,Paid Search,Electronics,Mobile,8.1,5,0.059,1,1,246.93
T100059,2025-07-25,C1095,Non-binary,35-44,Organic Search,Beauty,Mobile,8.7,0,0.077,0,1,42.82
T100060,2025-03-22,C1087,Male,25-34,Social,Electronics,Desktop,6.6,6,0.119,0,1,213.29
T100061,2025-02-19,C1077,Male,35-44,Paid Search,Electronics,Mobile,5.6,3,0.085,0,1,220.32
T100062,2025-12-26,C1287,Female,18-24,Organic Search,Fashion,Desktop,5.6,2,0.04,1,1,73.8
T100063,2025-01-02,C1119,,35-44,Paid Search,Electronics,Mobile,10.5,6,0.048,0,1,208.22
T100064,2025-02-23,C1301,Male,35-44,Social,Fitness,Mobile,5.1,1,0.087,1,1,89.5
T100065,2025-04-16,C1164,Female,45-54,Organic Search,Electronics,Mobile,6.9,4,0.057,0,1,158.66
T100066,2025-09-17,C1181,Male,35-44,Email,Fashion,Mobile,8.2,2,0.076,1,1,96.47
T100067,2025-11-06,C1222,Female,35-44,Email,Fitness,Mobile,7.1,5,0.161,0,1,116.09
T100068,2025-07-10,C1310,Male,35-44,Email,Electronics,Desktop,9.2,1,0.052,1,2,460.31
T100069,2025-08-06,C1006,Male,18-24,Organic Search,Beauty,Mobile,5.5,1,0.039,0,1,36.01
T100070,2025-02-13,C1262,Female,35-44,Email,Electronics,Mobile,8.2,3,0.06,1,1,257.26
T100071,2025-06-11,C1160,,25-34,Email,Fashion,Mobile,2.0,1,0.028,0,1,96.17
T100072,2025-07-21,C1150,Male,55+,Referral,Fashion,Desktop,9.9,5,0.121,0,1,68.74
T100073,2025-09-27,C1084,Male,18-24,Referral,Home,Mobile,9.3,3,0.047,0,1,68.19
T100074,2025-12-17,C1146,Female,25-34,Paid Search,Home,Mobile,5.7,3,0.053,1,3,313.82
T100075,2025-10-31,C1111,Female,35-44,Referral,Home,Desktop,7.6,2,0.042,0,1,102.09
T100076,2025-09-28,C1035,Female,25-34,Email,Fitness,Mobile,8.7,5,0.031,0,4,506.35
T100077,2025-08-03,C1284,Male,18-24,Organic Search,Home,Desktop,3.9,2,0.08,1,1,151.02
T100078,2025-09-09,C1187,Female,35-44,Organic Search,Electronics,Mobile,6.1,3,0.059,1,1,271.2
T100079,2025-07-09,C1081,Male,35-44,Paid Search,Home,Mobile,3.2,4,0.028,0,1,79.29
T100080,2025-10-23,C1001,Male,35-44,Paid Search,Electronics,Tablet,9.3,4,0.071,1,1,227.26
T100081,2025-08-01,C1302,Female,25-34,Paid Search,Fitness,Mobile,8.6,2,0.093,0,1,84.62
T100082,2025-07-27,C1196,Male,35-44,Paid Search,Electronics,Desktop,5.8,2,0.069,1,1,199.15
T100083,2025-08-25,C1010,Female,25-34,Social,Fitness,Mobile,5.5,2,0.1,1,1,83.85
T100084,2025-12-04,C1233,Non-binary,35-44,Email,Electronics,Desktop,6.1,4,0.133,0,1,208.39
T100085,2025-02-22,C1194,Male,35-44,Email,Electronics,Desktop,4.3,2,0.106,1,1,253.74
T100086,2025-10-07,C1118,Female,35-44,Email,Fitness,Mobile,6.1,2,0.088,0,1,122.69
T100087,2025-08-05,C1019,Female,25-34,Paid Search,Fashion,Desktop,3.9,2,0.106,1,1,122.07
T100088,2025-09-09,C1260,Female,18-24,Organic Search,Fashion,Mobile,8.7,5,0.149,1,1,87.02
T100089,2025-07-07,C1292,Male,25-34,Email,Electronics,Desktop,9.3,6,0.039,1,2,359.97
T100090,2025-02-10,C1255,Male,18-24,Referral,Electronics,Mobile,8.9,3,0.101,0,1,220.99
T100091,2025-06-06,C1221,Male,25-34,Paid Search,Fashion,Desktop,3.5,3,0.052,0,1,57.58
T100092,2025-01-15,C1225,Female,35-44,Email,Home,Mobile,6.0,0,0.089,0,1,127.11
T100093,2025-10-28,C1052,Female,25-34,Social,Electronics,Mobile,8.0,1,0.042,1,3,342.49
T100094,2025-03-06,C1279,Female,55+,Email,Fashion,Desktop,8.4,2,0.105,1,1,68.97
T100095,2025-12-11,C1080,Male,18-24,Organic Search,Fashion,Desktop,1.9,4,0.09,1,2,178.26
T100096,2025-11-23,C1201,Male,45-54,Social,Fashion,Mobile,8.4,5,0.127,0,1,104.0
T100097,2025-01-09,C1157,Female,35-44,Email,Fashion,Mobile,3.4,3,0.074,1,1,66.72
T100098,2025-12-10,C1119,Female,25-34,Email,Fashion,Mobile,6.1,6,0.073,1,1,
T100099,2025-05-09,C1058,Male,18-24,Paid Search,Electronics,Mobile,9.6,2,0.073,1,1,208.18
T100100,2025-05-16,C1214,Male,35-44,Email,Electronics,Mobile,9.3,3,0.156,0,2,511.19
T100101,2025-03-04,C1127,Male,25-34,Email,Beauty,Desktop,9.8,2,0.101,0,1,28.58
T100102,2025-05-19,C1223,Male,55+,Paid Search,Beauty,Mobile,3.8,1,0.122,1,1,41.7
T100103,2025-03-22,C1208,Female,35-44,Paid Search,Home,Desktop,4.5,3,0.104,1,1,118.77
T100104,2025-06-12,C1114,Female,55+,Organic Search,Home,Desktop,5.1,2,0.108,0,1,75.73
T100105,2025-10-16,C1208,Male,25-34,Social,Home,Mobile,6.1,6,0.038,1,1,78.46
T100106,2025-09-18,C1013,Male,35-44,Organic Search,Beauty,Mobile,7.0,0,0.065,0,1,40.98
T100107,2025-08-19,C1008,Female,35-44,Email,Electronics,Mobile,9.7,0,0.063,1,1,231.75
T100108,2025-02-10,C1039,Male,35-44,Email,Electronics,Mobile,4.2,2,0.084,0,1,186.06
T100109,2025-01-28,C1236,Male,25-34,Referral,Beauty,Desktop,4.9,4,0.079,0,2,105.79
T100110,2025-05-15,C1280,Male,35-44,Organic Search,Fitness,Mobile,10.1,5,0.034,0,1,115.98
T100111,2025-07-20,C1200,Male,25-34,Referral,Electronics,Desktop,3.6,2,0.083,0,1,230.3
T100112,2025-11-24,C1245,Female,45-54,Paid Search,Beauty,Mobile,8.3,6,0.022,0,1,49.04
T100113,2025-09-25,C1277,Male,25-34,Organic Search,Fitness,Mobile,6.3,1,0.105,1,3,347.35
T100114,2025-02-02,C1234,Male,45-54,Organic Search,Home,Mobile,7.5,4,0.085,0,1,90.52
T100115,2025-02-17,C1003,Male,18-24,Paid Search,Electronics,Mobile,4.5,12,0.119,0,1,169.58
T100116,2025-03-03,C1153,Male,45-54,Organic Search,Home,Mobile,8.3,4,0.088,0,3,191.64
T100117,2025-08-04,C1028,Male,45-54,Organic Search,Home,Mobile,4.9,5,0.068,0,1,122.49
T100118,2025-10-20,C1108,Female,45-54,Email,Fashion,Desktop,3.0,3,0.035,0,3,253.0
T100119,2025-04-09,C1097,Male,35-44,Paid Search,Electronics,Desktop,7.7,4,0.07,0,1,78.64
T100120,2025-06-21,C1214,Male,25-34,Social,Fitness,Mobile,0.3,3,0.058,1,1,175.36
T100121,2025-12-26,C1292,Male,55+,Referral,Electronics,Mobile,5.1,5,0.093,0,2,243.9
T100122,2025-08-02,C1074,Male,25-34,Paid Search,Home,Mobile,7.2,2,0.069,1,3,375.61
T100123,2025-02-04,C1145,Male,35-44,Paid Search,Beauty,Mobile,8.4,3,0.1,0,1,20.6
T100124,2025-08-15,C1127,Male,35-44,Email,Home,Mobile,9.6,2,0.123,0,3,230.98
T100125,2025-04-11,C1041,Male,35-44,Social,Home,Mobile,10.9,5,0.04,0,1,118.88
T100126,2025-05-11,C1040,Female,25-34,Paid Search,Electronics,Mobile,10.2,4,0.082,1,2,621.96
T100127,2025-09-14,C1033,Female,35-44,Referral,Home,Mobile,7.0,7,0.081,1,1,119.92
T100128,2025-01-05,C1016,Male,45-54,Paid Search,Fitness,Mobile,9.3,3,0.091,1,1,159.09
T100129,2025-08-06,C1164,Male,18-24,Paid Search,Home,Mobile,6.9,2,0.103,0,3,189.75
T100130,2025-09-12,C1152,Female,55+,Organic Search,Fashion,Desktop,8.2,3,0.13,1,3,263.06
T100131,2025-12-25,C1075,Female,18-24,Social,Fitness,Mobile,5.0,0,0.049,0,1,112.79
T100132,2025-10-10,C1086,Male,25-34,Organic Search,Home,Mobile,7.7,4,0.035,0,1,133.05
T100133,2025-07-26,C1116,Female,18-24,Paid Search,Electronics,Desktop,5.3,3,0.088,1,1,221.69
T100134,2025-01-15,C1026,Female,18-24,Referral,Beauty,Desktop,6.1,3,0.095,0,1,43.35
T100135,2025-12-12,C1312,Female,55+,Email,Fashion,Desktop,7.7,4,0.104,1,1,86.13
T100136,2025-02-11,C1286,Female,25-34,Referral,Electronics,Desktop,11.7,1,0.059,0,1,224.28
T100137,2025-06-28,C1133,Female,25-34,Email,Fashion,Mobile,7.5,3,0.035,1,1,
T100138,2025-03-04,C1218,Female,25-34,Social,Electronics,Mobile,6.5,0,0.119,1,2,497.31
T100139,2025-12-18,C1167,Female,35-44,Organic Search,Fashion,Desktop,4.4,1,0.097,1,1,95.44
T100140,2025-08-19,C1097,Male,35-44,Paid Search,Electronics,Mobile,8.7,1,0.071,0,1,131.06
T100141,2025-08-29,C1267,Male,25-34,Referral,Fashion,Mobile,5.7,4,0.018,0,1,32.14
T100142,2025-02-21,C1236,Male,25-34,Email,Beauty,Desktop,7.4,4,0.062,1,1,39.73
T100143,2025-04-06,C1308,Female,45-54,Paid Search,Home,Mobile,8.3,3,0.103,0,1,99.52
T100144,2025-08-10,C1172,Female,25-34,Organic Search,Electronics,Mobile,9.7,5,0.095,1,1,205.79
T100145,2025-08-19,C1189,Male,25-34,Paid Search,Home,Mobile,8.6,3,0.041,1,2,184.84
T100146,2025-08-25,C1121,Female,25-34,Organic Search,Fashion,Mobile,3.4,5,0.101,0,2,129.64
T100147,2025-05-23,C1045,Male,45-54,Email,Electronics,Mobile,2.2,5,0.079,1,2,454.42
T100148,2025-06-20,C1063,Male,25-34,Email,Electronics,Desktop,8.3,5,0.12,1,3,504.64
T100149,2025-01-29,C1129,Male,35-44,Email,Beauty,Desktop,6.7,3,0.061,0,2,78.63
T100150,2025-02-05,C1309,Female,25-34,Email,Beauty,Mobile,7.5,2,0.063,0,2,85.07
T100151,2025-01-13,C1192,Female,55+,Paid Search,Beauty,Desktop,10.8,3,0.085,0,1,44.88
T100152,2025-06-09,C1306,Male,25-34,Social,Fitness,Mobile,5.0,1,0.069,0,1,119.28
T100153,2025-11-23,C1180,Female,45-54,Referral,Electronics,Mobile,9.7,4,0.056,1,1,326.03
T100154,2025-07-06,C1291,Male,25-34,Social,Fashion,Desktop,5.0,3,0.137,0,1,69.04
T100155,2025-08-31,C1281,Male,25-34,Email,Home,Desktop,10.4,1,0.125,1,1,62.91
T100156,2025-03-27,C1028,,45-54,Paid Search,Electronics,Desktop,8.4,1,0.053,0,1,170.42
T100157,2025-10-11,C1148,Female,25-34,Email,Fitness,Desktop,2.7,1,0.089,1,2,176.41
T100158,2025-03-07,C1266,Male,45-54,Paid Search,Fitness,Desktop,5.5,1,0.036,1,1,170.41
T100159,2025-06-19,C1295,Male,55+,Organic Search,Home,Desktop,11.3,2,0.133,0,1,68.68
T100160,2025-02-14,C1010,Female,45-54,Email,electronics,Mobile,11.0,2,0.105,0,4,427.14
T100161,2025-03-03,C1163,Female,18-24,Email,Electronics,Desktop,8.0,2,0.112,1,1,243.03
T100162,2025-05-14,C1112,Male,45-54,Referral,Home,Tablet,7.4,3,0.074,1,1,110.52
T100163,2025-10-11,C1186,Female,25-34,Organic Search,Fashion,Desktop,7.1,3,0.117,0,1,129.97
T100164,2025-01-28,C1294,Female,45-54,,Electronics,Mobile,7.6,6,0.117,0,3,515.95
T100165,2025-04-18,C1231,Female,35-44,Email,Home,Mobile,6.1,2,0.077,0,1,69.39
T100166,2025-02-13,C1226,Male,45-54,Paid Search,Fashion,Desktop,9.5,3,0.048,0,1,56.35
T100167,2025-12-06,C1309,Male,25-34,Referral,Fashion,Mobile,7.9,4,0.095,1,1,107.78
T100168,2025-10-13,C1097,Male,35-44,Email,Home,Tablet,4.1,2,0.078,1,1,98.52
T100169,2025-11-27,C1054,Female,18-24,Paid Search,Beauty,Mobile,8.1,5,0.138,0,1,34.77
T100170,2025-05-08,C1110,Female,45-54,Email,Beauty,Mobile,6.9,8,0.084,1,2,98.3
T100171,2025-12-14,C1151,Male,25-34,Organic Search,Fashion,Desktop,5.7,4,0.085,0,2,190.98
T100172,2025-08-19,C1245,Male,35-44,Email,Fashion,Mobile,11.2,3,0.106,1,2,166.16
T100173,2025-07-09,C1068,Female,45-54,Social,Electronics,Mobile,6.8,1,0.082,0,2,431.25
T100174,2025-08-13,C1311,Male,35-44,Social,Home,Desktop,1.6,1,0.103,0,1,86.65
T100175,2025-10-10,C1288,,25-34,Social,Beauty,Desktop,5.9,2,0.066,0,2,69.55
T100176,2025-05-01,C1249,Male,35-44,Paid Search,Fashion,Mobile,9.0,6,0.048,0,1,89.1
T100177,2025-04-26,C1035,Male,25-34,Social,Fitness,Tablet,4.2,2,0.055,1,1,100.97
T100178,2025-08-21,C1238,Non-binary,25-34,Organic Search,Fitness,Mobile,8.9,3,0.072,1,1,79.98
T100179,2025-09-16,C1147,Female,18-24,Paid Search,Fashion,Mobile,4.0,4,0.086,0,1,87.8
T100180,2025-12-25,C1226,Male,25-34,Organic Search,Electronics,Mobile,9.8,3,0.097,1,1,186.17
T100181,2025-07-17,C1243,,25-34,Email,Electronics,Desktop,5.1,2,0.096,0,1,245.96
T100182,2025-05-17,C1200,Female,35-44,Email,Home,Mobile,5.6,4,0.082,1,1,133.51
T100183,2025-11-14,C1153,Male,18-24,Social,Home,Mobile,5.4,3,0.05,0,2,166.48
T100184,2025-06-14,C1072,Male,25-34,Paid Search,Electronics,Mobile,8.0,4,0.103,0,1,235.12
T100185,2025-08-13,C1200,Male,55+,Organic Search,Electronics,Desktop,11.1,6,0.037,0,1,302.53
T100186,2025-11-03,C1295,Male,18-24,Paid Search,Fitness,Mobile,6.5,4,0.047,1,2,248.11
T100187,2025-08-22,C1016,Non-binary,35-44,Referral,Fashion,Desktop,6.5,6,0.083,1,1,88.43
T100188,2025-06-21,C1128,Male,45-54,Referral,Beauty,Desktop,5.1,2,0.106,0,2,82.05
T100189,2025-06-01,C1216,Female,55+,Referral,Beauty,Mobile,2.4,6,0.101,0,1,71.66
T100190,2025-11-11,C1060,Male,45-54,Paid Search,Electronics,Mobile,5.3,3,0.079,0,3,696.57
T100191,2025-06-09,C1103,Female,35-44,Email,Fashion,Mobile,3.4,4,0.095,1,1,73.76
T100192,2025-04-06,C1041,Female,45-54,Organic Search,Fitness,Desktop,1.8,4,0.05,1,1,177.49
T100193,2025-08-21,C1024,Male,25-34,Email,Beauty,Mobile,6.3,4,0.065,0,1,44.77
T100194,2025-06-29,C1038,Male,45-54,Email,Electronics,Mobile,5.1,1,0.066,0,1,173.13
T100195,2025-04-23,C1290,Female,18-24,Organic Search,Electronics,Mobile,9.9,4,0.053,1,3,525.16
T100196,2025-11-14,C1130,Non-binary,55+,Organic Search,Electronics,Desktop,4.4,4,0.071,0,1,214.76
T100197,2025-02-21,C1228,Male,25-34,Referral,Beauty,Mobile,8.2,0,0.076,0,1,32.67
T100198,2025-09-25,C1107,Male,35-44,Email,Fashion,Mobile,8.1,1,0.068,0,1,57.25
T100199,2025-10-22,C1171,Female,25-34,Paid Search,Fashion,Desktop,9.8,1,0.074,0,2,126.48
T100200,2025-04-23,C1101,Male,45-54,Email,Beauty,Tablet,6.0,2,0.005,0,1,37.45
T100201,2025-04-11,C1011,Male,18-24,Referral,Fashion,Desktop,9.8,5,0.094,1,4,267.15
T100202,2025-04-23,C1274,Male,45-54,Social,Fashion,Mobile,7.9,1,0.07,0,1,68.05
T100203,2025-03-22,C1100,Female,45-54,Social,Electronics,Mobile,9.3,3,0.07,1,1,285.88
T100204,2025-07-06,C1043,Female,25-34,Referral,Home,Mobile,12.5,8,0.04,0,1,114.44
T100205,2025-04-23,C1304,Female,45-54,Organic Search,Fashion,Mobile,6.2,3,0.129,1,2,139.01
T100206,2025-01-02,C1016,Female,45-54,Paid Search,Home,Mobile,6.9,6,0.13,1,2,172.48
T100207,2025-05-10,C1056,Female,35-44,Paid Search,Fashion,Desktop,5.6,3,0.032,1,1,89.83
T100208,2025-08-08,C1310,Non-binary,25-34,Organic Search,Fashion,Mobile,10.4,3,0.075,0,1,68.85
T100209,2025-02-23,C1302,Male,25-34,Paid Search,Fitness,Mobile,13.0,3,0.11,0,2,238.4
T100210,2025-12-09,C1011,Female,25-34,Paid Search,Fashion,Tablet,8.3,2,0.071,0,1,83.56
T100211,2025-08-12,C1317,Female,25-34,Referral,Fitness,Mobile,2.5,5,0.064,1,1,111.01
T100212,2025-08-13,C1079,Female,55+,Referral,Fitness,Mobile,4.3,1,0.062,0,1,99.73
T100213,2025-05-06,C1215,Female,18-24,Social,Home,Mobile,9.4,3,0.091,1,1,135.09
T100214,2025-05-10,C1263,Female,45-54,Social,Electronics,Mobile,3.6,2,0.16,1,1,336.1
T100215,2025-02-22,C1148,Female,25-34,Social,Home,Desktop,5.0,3,0.107,0,1,78.99
T100216,2025-06-21,C1080,Male,35-44,Email,Fitness,Mobile,4.9,4,0.049,1,1,81.94
T100217,2025-08-06,C1214,,45-54,Email,Electronics,Mobile,6.3,5,0.063,0,2,332.33
T100218,2025-06-09,C1197,Female,45-54,Social,Electronics,Desktop,7.1,4,0.074,0,1,227.89
T100219,2025-07-17,C1199,Female,25-34,Social,Electronics,Desktop,1.8,1,0.056,0,2,389.78
T100220,2025-09-04,C1024,Male,25-34,Email,Fitness,Tablet,2.7,2,0.051,1,1,131.07
T100221,2025-11-20,C1088,Female,25-34,Referral,Fashion,Desktop,2.7,4,0.104,0,1,63.96
T100222,2025-07-22,C1267,Female,18-24,Email,Fashion,Mobile,3.0,5,0.067,1,1,44.65
T100223,2025-07-03,C1142,Male,25-34,Paid Search,Beauty,Mobile,6.5,3,0.093,0,2,55.94
T100224,2025-05-03,C1058,Female,25-34,Social,Fashion,Mobile,7.0,0,0.135,0,1,100.29
T100225,2025-09-12,C1025,Male,25-34,Email,Fitness,Mobile,9.0,2,0.066,1,3,393.76
T100226,2025-10-21,C1046,Male,35-44,Email,Beauty,Desktop,7.9,5,0.09,0,1,23.22
T100227,2025-10-07,C1287,Female,25-34,Paid Search,Beauty,Desktop,5.0,3,0.051,0,1,52.41
T100228,2025-11-21,C1265,Female,25-34,Social,Electronics,Mobile,7.1,3,0.094,1,3,666.62
T100229,2025-04-08,C1015,Male,25-34,Paid Search,Fashion,Mobile,9.1,5,0.121,0,1,68.92
T100230,2025-07-17,C1198,Female,45-54,Social,Home,Mobile,5.9,6,0.119,0,1,73.28
T100231,2025-08-28,C1281,Female,45-54,Organic Search,Home,Tablet,5.7,2,0.083,0,3,344.26
T100232,2025-05-24,C1085,Male,35-44,Email,Fitness,Desktop,4.1,4,0.066,0,1,134.22
T100233,2025-04-07,C1249,Male,45-54,Referral,Home,Desktop,4.5,4,0.089,1,1,105.48
T100234,2025-07-20,C1269,Female,25-34,Email,Electronics,Desktop,8.2,4,0.084,1,4,798.44
T100235,2025-05-04,C1116,Male,35-44,Referral,Fitness,Tablet,6.5,2,0.096,0,1,164.06
T100236,2025-07-06,C1006,Female,25-34,Organic Search,Electronics,Desktop,11.4,4,0.063,0,2,461.85
T100237,2025-11-22,C1136,Male,25-34,Referral,Fitness,Desktop,4.8,7,0.07,0,1,119.47
T100238,2025-12-15,C1175,Male,35-44,Email,Beauty,Mobile,8.4,6,0.075,1,2,91.04
T100239,2025-09-16,C1314,Male,45-54,Organic Search,Fitness,Mobile,7.5,1,0.102,0,1,79.0
T100240,2025-05-28,C1214,Male,18-24,Email,Fitness,Mobile,6.3,3,0.106,0,4,439.27
T100241,2025-09-09,C1081,,35-44,Email,Beauty,Mobile,5.4,4,0.069,1,1,51.67
T100242,2025-12-12,C1222,Female,35-44,Organic Search,Beauty,Tablet,8.0,5,0.047,1,1,43.68
T100243,2025-05-27,C1102,Male,18-24,Email,Fitness,Mobile,7.9,4,0.093,0,1,99.89
T100244,2025-05-28,C1272,Female,25-34,Organic Search,Fitness,Desktop,7.0,6,0.104,0,1,96.22
T100245,2025-12-18,C1013,Female,25-34,Email,Fitness,Mobile,7.6,5,0.078,0,2,228.25
T100246,2025-07-18,C1158,Female,25-34,Paid Search,Fashion,Mobile,6.6,3,0.061,0,2,130.79
T100247,2025-11-04,C1151,Non-binary,25-34,Social,Electronics,Tablet,2.4,7,0.068,1,1,211.65
T100248,2025-05-08,C1107,Non-binary,25-34,Paid Search,Home,Mobile,6.7,3,0.131,1,2,208.71
T100249,2025-02-08,C1187,Female,25-34,Organic Search,Fashion,Mobile,5.8,5,0.089,1,1,85.97
T100250,2025-12-04,C1300,Female,45-54,Social,Home,Mobile,11.4,2,0.112,0,1,69.57
T100251,2025-12-26,C1097,Male,35-44,Social,electronics,Desktop,8.1,6,0.058,0,1,153.76
T100252,2025-05-09,C1130,Female,55+,Paid Search,Beauty,Mobile,7.0,2,0.118,0,1,47.09
T100253,2025-09-24,C1292,Female,25-34,Social,Electronics,Desktop,7.7,3,0.109,0,1,170.68
T100254,2025-05-31,C1170,Male,45-54,Referral,Electronics,Desktop,3.9,1,0.079,1,2,449.76
T100255,2025-10-25,C1182,Male,45-54,Social,Fashion,Desktop,5.0,0,0.1,0,1,93.58
