transaction_id,purchase_date,customer_id,gender,age_group,marketing_channel,product_category,device_type,session_duration_min,email_opens_last_30d,click_through_rate,repeat_customer,quantity,purchase_amount_usd,month,day_name,is_weekend
T100031,2025-06-19,C1318,Female,35-44,Paid Search,Electronics,Mobile,1.7,3,0.081,0,3,691.49,2025-06,Thursday,False
T100032,2025-07-07,C1131,,25-34,Paid Search,Fashion,Mobile,4.3,2,0.069,1,1,67.87,2025-07,Monday,False
T100033,2025-09-28,C1263,Male,25-34,Organic Search,Fitness,Mobile,7.3,3,0.129,0,4,442.87,2025-09,Sunday,True
T100034,2025-07-09,C1054,Female,18-24,Social,Electronics,Mobile,6.6,3,0.081,1,1,86.52,2025-07,Wednesday,False
T100035,2025-06-24,C1130,Female,25-34,Email,Fashion,Desktop,2.1,3,0.005,0,1,68.57,2025-06,Tuesday,False
T100036,2025-02-20,C1287,Female,35-44,Referral,Beauty,Desktop,9.1,3,0.069,0,2,90.2,2025-02,Thursday,False
T100037,2025-12-30,C1265,Female,18-24,Organic Search,Fashion,Desktop,6.0,2,0.144,1,2,166.64,2025-12,Tuesday,False
T100038,2025-02-24,C1161,Non-binary,25-34,Unknown,Beauty,Tablet,3.3,4,0.048,1,1,38.65,2025-02,Monday,False
T100039,2025-09-01,C1086,Male,25-34,Referral,Fitness,Mobile,5.6,4,0.119,0,2,225.3,2025-09,Monday,False
T100040,2025-11-16,C1054,Male,55+,Email,Fashion,Mobile,5.0,1,0.113,1,2,182.02,2025-11,Sunday,True
T100041,2025-05-11,C1287,Female,45-54,Referral,Home,Mobile,4.3,1,0.074,0,1,117.21,2025-05,Sunday,True
T100042,2025-11-03,C1177,Female,35-44,Referral,Electronics,Desktop,8.5,2,0.088,0,1,199.25,2025-11,Monday,False
T100043,2025-05-15,C1007,Male,18-24,Social,Fashion,Mobile,3.7,8,0.08,1,2,205.94,2025-05,Thursday,False
T100045,2025-11-25,C1312,Male,45-54,Paid Search,Beauty,Mobile,6.5,8,0.062,0,1,45.37,2025-11,Tuesday,False
T100046,2025-06-16,C1246,Non-binary,35-44,Referral,Electronics,Tablet,6.4,0,0.125,0,2,382.24,2025-06,Monday,False
T100048,2025-03-30,C1254,Male,25-34,Social,Fashion,Mobile,7.2,3,0.059,0,1,91.52,2025-03,Sunday,True
T100049,2025-11-12,C1053,Female,55+,Referral,Electronics,Mobile,6.7,4,0.098,1,3,804.75,2025-11,Wednesday,False
T100050,2025-01-14,C1248,Female,55+,Referral,Home,Desktop,5.9,7,0.095,1,1,82.3,2025-01,Tuesday,False
T100051,2025-08-30,C1238,Female,18-24,Social,Fitness,Mobile,3.8,5,0.037,0,2,211.96,2025-08,Saturday,True
T100052,2025-09-22,C1228,Male,25-34,Paid Search,Fashion,Mobile,3.9,4,0.063,1,2,157.72,2025-09,Monday,False
T100053,2025-12-12,C1066,Female,55+,Referral,Home,Desktop,7.2,3,0.031,1,1,118.31,2025-12,Friday,False
T100054,2025-02-22,C1050,Female,18-24,Organic Search,Home,Mobile,3.3,4,0.159,0,1,107.92,2025-02,Saturday,True
T100055,2025-12-06,C1096,Male,35-44,Referral,Fashion,Desktop,2.8,3,0.071,0,1,107.13,2025-12,Saturday,True
T100056,2025-04-02,C1091,Female,55+,Social,Fitness,Desktop,10.1,4,0.062,0,1,136.25,2025-04,Wednesday,False
T100057,2025-09-21,C1263,Female,35-44,Paid Search,Electronics,Mobile,5.9,5,0.067,1,1,204.45,2025-09,Sunday,True
T100058,2025-02-04,C1290,Female,25-34,Paid Search,Electronics,Mobile,8.1,5,0.059,1,1,246.93,2025-02,Tuesday,False
T100059,2025-07-25,C1095,Non-binary,35-44,Organic Search,Beauty,Mobile,8.7,0,0.077,0,1,42.82,2025-07,Friday,False
T100060,2025-03-22,C1087,Male,25-34,Social,Electronics,Desktop,6.6,6,0.119,0,1,213.29,2025-03,Saturday,True
T100061,2025-02-19,C1077,Male,35-44,Paid Search,Electronics,Mobile,5.6,3,0.085,0,1,220.32,2025-02,Wednesday,False
T100062,2025-12-26,C1287,Female,18-24,Organic Search,Fashion,Desktop,5.6,2,0.04,1,1,73.8,2025-12,Friday,False
T100063,2025-01-02,C1119,,35-44,Paid Search,Electronics,Mobile,10.5,6,0.048,0,1,208.22,2025-01,Thursday,False
T100064,2025-02-23,C1301,Male,35-44,Social,Fitness,Mobile,5.1,1,0.087,1,1,89.5,2025-02,Sunday,True
T100065,2025-04-16,C1164,Female,45-54,Organic Search,Electronics,Mobile,6.9,4,0.057,0,1,158.66,2025-04,Wednesday,False
T100066,2025-09-17,C1181,Male,35-44,Email,Fashion,Mobile,8.2,2,0.076,1,1,96.47,2025-09,Wednesday,False
T100067,2025-11-06,C1222,Female,35-44,Email,Fitness,Mobile,7.1,5,0.161,0,1,116.09,2025-11,Thursday,False
T100068,2025-07-10,C1310,Male,35-44,Email,Electronics,Desktop,9.2,1,0.052,1,2,460.31,2025-07,Thursday,False
T100069,2025-08-06,C1006,Male,18-24,Organic Search,Beauty,Mobile,5.5,1,0.039,0,1,36.01,2025-08,Wednesday,False
T100070,2025-02-13,C1262,Female,35-44,Email,Electronics,Mobile,8.2,3,0.06,1,1,257.26,2025-02,Thursday,False
T100071,2025-06-11,C1160,,25-34,Email,Fashion,Mobile,2.0,1,0.028,0,1,96.17,2025-06,Wednesday,False
T100072,2025-07-21,C1150,Male,55+,Referral,Fashion,Desktop,9.9,5,0.121,0,1,68.74,2025-07,Monday,False
T100073,2025-09-27,C1084,Male,18-24,Referral,Home,Mobile,9.3,3,0.047,0,1,68.19,2025-09,Saturday,True
T100074,2025-12-17,C1146,Female,25-34,Paid Search,Home,Mobile,5.7,3,0.053,1,3,313.82,2025-12,Wednesday,False
T100075,2025-10-31,C1111,Female,35-44,Referral,Home,Desktop,7.6,2,0.042,0,1,102.09,2025-10,Friday,False
T100076,2025-09-28,C1035,Female,25-34,Email,Fitness,Mobile,8.7,5,0.031,0,4,506.35,2025-09,Sunday,True
T100077,2025-08-03,C1284,Male,18-24,Organic Search,Home,Desktop,3.9,2,0.08,1,1,151.02,2025-08,Sunday,True
T100078,2025-09-09,C1187,Female,35-44,Organic Search,Electronics,Mobile,6.1,3,0.059,1,1,271.2,2025-09,Tuesday,False
T100079,2025-07-09,C1081,Male,35-44,Paid Search,Home,Mobile,3.2,4,0.028,0,1,79.29,2025-07,Wednesday,False
T100080,2025-10-23,C1001,Male,35-44,Paid Search,Electronics,Tablet,9.3,4,0.071,1,1,227.26,2025-10,Thursday,False
T100081,2025-08-01,C1302,Female,25-34,Paid Search,Fitness,Mobile,8.6,2,0.093,0,1,84.62,2025-08,Friday,False
T100082,2025-07-27,C1196,Male,35-44,Paid Search,Electronics,Desktop,5.8,2,0.069,1,1,199.15,2025-07,Sunday,True
T100083,2025-08-25,C1010,Female,25-34,Social,Fitness,Mobile,5.5,2,0.1,1,1,83.85,2025-08,Monday,False
T100084,2025-12-04,C1233,Non-binary,35-44,Email,Electronics,Desktop,6.1,4,0.133,0,1,208.39,2025-12,Thursday,False
T100085,2025-02-22,C1194,Male,35-44,Email,Electronics,Desktop,4.3,2,0.106,1,1,253.74,2025-02,Saturday,True
T100086,2025-10-07,C1118,Female,35-44,Email,Fitness,Mobile,6.1,2,0.088,0,1,122.69,2025-10,Tuesday,False
T100087,2025-08-05,C1019,Female,25-34,Paid Search,Fashion,Desktop,3.9,2,0.106,1,1,122.07,2025-08,Tuesday,False
T100088,2025-09-09,C1260,Female,18-24,Organic Search,Fashion,Mobile,8.7,5,0.149,1,1,87.02,2025-09,Tuesday,False
T100089,2025-07-07,C1292,Male,25-34,Email,Electronics,Desktop,9.3,6,0.039,1,2,359.97,2025-07,Monday,False
T100090,2025-02-10,C1255,Male,18-24,Referral,Electronics,Mobile,8.9,3,0.101,0,1,220.99,2025-02,Monday,False
T100091,2025-06-06,C1221,Male,25-34,Paid Search,Fashion,Desktop,3.5,3,0.052,0,1,57.58,2025-06,Friday,False
T100092,2025-01-15,C1225,Female,35-44,Email,Home,Mobile,6.0,0,0.089,0,1,127.11,2025-01,Wednesday,False
T100093,2025-10-28,C1052,Female,25-34,Social,Electronics,Mobile,8.0,1,0.042,1,3,342.49,2025-10,Tuesday,False
T100094,2025-03-06,C1279,Female,55+,Email,Fashion,Desktop,8.4,2,0.105,1,1,68.97,2025-03,Thursday,False
T100095,2025-12-11,C1080,Male,18-24,Organic Search,Fashion,Desktop,1.9,4,0.09,1,2,178.26,2025-12,Thursday,False
T100096,2025-11-23,C1201,Male,45-54,Social,Fashion,Mobile,8.4,5,0.127,0,1,104.0,2025-11,Sunday,True
T100097,2025-01-09,C1157,Female,35-44,Email,Fashion,Mobile,3.4,3,0.074,1,1,66.72,2025-01,Thursday,False
T100098,2025-12-10,C1119,Female,25-34,Email,Fashion,Mobile,6.1,6,0.073,1,1,129.725,2025-12,Wednesday,False
T100099,2025-05-09,C1058,Male,18-24,Paid Search,Electronics,Mobile,9.6,2,0.073,1,1,208.18,2025-05,Friday,False
T100100,2025-05-16,C1214,Male,35-44,Email,Electronics,Mobile,9.3,3,0.156,0,2,511.19,2025-05,Friday,False
T100101,2025-03-04,C1127,Male,25-34,Email,Beauty,Desktop,9.8,2,0.101,0,1,28.58,2025-03,Tuesday,False
T100102,2025-05-19,C1223,Male,55+,Paid Search,Beauty,Mobile,3.8,1,0.122,1,1,41.7,2025-05,Monday,False
T100103,2025-03-22,C1208,Female,35-44,Paid Search,Home,Desktop,4.5,3,0.104,1,1,118.77,2025-03,Saturday,True
T100104,2025-06-12,C1114,Female,55+,Organic Search,Home,Desktop,5.1,2,0.108,0,1,75.73,2025-06,Thursday,False
T100105,2025-10-16,C1208,Male,25-34,Social,Home,Mobile,6.1,6,0.038,1,1,78.46,2025-10,Thursday,False
T100106,2025-09-18,C1013,Male,35-44,Organic Search,Beauty,Mobile,7.0,0,0.065,0,1,40.98,2025-09,Thursday,False
T100107,2025-08-19,C1008,Female,35-44,Email,Electronics,Mobile,9.7,0,0.063,1,1,231.75,2025-08,Tuesday,False
T100108,2025-02-10,C1039,Male,35-44,Email,Electronics,Mobile,4.2,2,0.084,0,1,186.06,2025-02,Monday,False
T100109,2025-01-28,C1236,Male,25-34,Referral,Beauty,Desktop,4.9,4,0.079,0,2,105.79,2025-01,Tuesday,False
T100110,2025-05-15,C1280,Male,35-44,Organic Search,Fitness,Mobile,10.1,5,0.034,0,1,115.98,2025-05,Thursday,False
T100111,2025-07-20,C1200,Male,25-34,Referral,Electronics,Desktop,3.6,2,0.083,0,1,230.3,2025-07,Sunday,True
T100112,2025-11-24,C1245,Female,45-54,Paid Search,Beauty,Mobile,8.3,6,0.022,0,1,49.04,2025-11,Monday,False
T100113,2025-09-25,C1277,Male,25-34,Organic Search,Fitness,Mobile,6.3,1,0.105,1,3,347.35,2025-09,Thursday,False
T100114,2025-02-02,C1234,Male,45-54,Organic Search,Home,Mobile,7.5,4,0.085,0,1,90.52,2025-02,Sunday,True
T100115,2025-02-17,C1003,Male,18-24,Paid Search,Electronics,Mobile,4.5,12,0.119,0,1,169.58,2025-02,Monday,False
T100116,2025-03-03,C1153,Male,45-54,Organic Search,Home,Mobile,8.3,4,0.088,0,3,191.64,2025-03,Monday,False
T100117,2025-08-04,C1028,Male,45-54,Organic Search,Home,Mobile,4.9,5,0.068,0,1,122.49,2025-08,Monday,False
T100118,2025-10-20,C1108,Female,45-54,Email,Fashion,Desktop,3.0,3,0.035,0,3,253.0,2025-10,Monday,False
T100119,2025-04-09,C1097,Male,35-44,Paid Search,Electronics,Desktop,7.7,4,0.07,0,1,78.64,2025-04,Wednesday,False
T100120,2025-06-21,C1214,Male,25-34,Social,Fitness,Mobile,0.3,3,0.058,1,1,175.36,2025-06,Saturday,True
T100121,2025-12-26,C1292,Male,55+,Referral,Electronics,Mobile,5.1,5,0.093,0,2,243.9,2025-12,Friday,False
T100122,2025-08-02,C1074,Male,25-34,Paid Search,Home,Mobile,7.2,2,0.069,1,3,375.61,2025-08,Saturday,True
T100123,2025-02-04,C1145,Male,35-44,Paid Search,Beauty,Mobile,8.4,3,0.1,0,1,20.6,2025-02,Tuesday,False
T100124,2025-08-15,C1127,Male,35-44,Email,Home,Mobile,9.6,2,0.123,0,3,230.98,2025-08,Friday,False
T100125,2025-04-11,C1041,Male,35-44,Social,Home,Mobile,10.9,5,0.04,0,1,118.88,2025-04,Friday,False
T100126,2025-05-11,C1040,Female,25-34,Paid Search,Electronics,Mobile,10.2,4,0.082,1,2,621.96,2025-05,Sunday,True
T100127,2025-09-14,C1033,Female,35-44,Referral,Home,Mobile,7.0,7,0.081,1,1,119.92,2025-09,Sunday,True
T100128,2025-01-05,C1016,Male,45-54,Paid Search,Fitness,Mobile,9.3,3,0.091,1,1,159.09,2025-01,Sunday,True
T100129,2025-08-06,C1164,Male,18-24,Paid Search,Home,Mobile,6.9,2,0.103,0,3,189.75,2025-08,Wednesday,False
T100130,2025-09-12,C1152,Female,55+,Organic Search,Fashion,Desktop,8.2,3,0.13,1,3,263.06,2025-09,Friday,False
T100131,2025-12-25,C1075,Female,18-24,Social,Fitness,Mobile,5.0,0,0.049,0,1,112.79,2025-12,Thursday,False
T100132,2025-10-10,C1086,Male,25-34,Organic Search,Home,Mobile,7.7,4,0.035,0,1,133.05,2025-10,Friday,False
T100133,2025-07-26,C1116,Female,18-24,Paid Search,Electronics,Desktop,5.3,3,0.088,1,1,221.69,2025-07,Saturday,True
T100134,2025-01-15,C1026,Female,18-24,Referral,Beauty,Desktop,6.1,3,0.095,0,1,43.35,2025-01,Wednesday,False
T100135,2025-12-12,C1312,Female,55+,Email,Fashion,Desktop,7.7,4,0.104,1,1,86.13,2025-12,Friday,False
T100136,2025-02-11,C1286,Female,25-34,Referral,Electronics,Desktop,11.7,1,0.059,0,1,224.28,2025-02,Tuesday,False
T100137,2025-06-28,C1133,Female,25-34,Email,Fashion,Mobile,7.5,3,0.035,1,1,129.725,2025-06,Saturday,True
T100138,2025-03-04,C1218,Female,25-34,Social,Electronics,Mobile,6.5,0,0.119,1,2,497.31,2025-03,Tuesday,False
T100139,2025-12-18,C1167,Female,35-44,Organic Search,Fashion,Desktop,4.4,1,0.097,1,1,95.44,2025-12,Thursday,False
T100140,2025-08-19,C1097,Male,35-44,Paid Search,Electronics,Mobile,8.7,1,0.071,0,1,131.06,2025-08,Tuesday,False
T100141,2025-08-29,C1267,Male,25-34,Referral,Fashion,Mobile,5.7,4,0.018,0,1,32.14,2025-08,Friday,False
T100142,2025-02-21,C1236,Male,25-34,Email,Beauty,Desktop,7.4,4,0.062,1,1,39.73,2025-02,Friday,False
T100143,2025-04-06,C1308,Female,45-54,Paid Search,Home,Mobile,8.3,3,0.103,0,1,99.52,2025-04,Sunday,True
T100144,2025-08-10,C1172,Female,25-34,Organic Search,Electronics,Mobile,9.7,5,0.095,1,1,205.79,2025-08,Sunday,True
T100145,2025-08-19,C1189,Male,25-34,Paid Search,Home,Mobile,8.6,3,0.041,1,2,184.84,2025-08,Tuesday,False
T100146,2025-08-25,C1121,Female,25-34,Organic Search,Fashion,Mobile,3.4,5,0.101,0,2,129.64,2025-08,Monday,False
T100147,2025-05-23,C1045,Male,45-54,Email,Electronics,Mobile,2.2,5,0.079,1,2,454.42,2025-05,Friday,False
T100148,2025-06-20,C1063,Male,25-34,Email,Electronics,Desktop,8.3,5,0.12,1,3,504.64,2025-06,Friday,False
T100149,2025-01-29,C1129,Male,35-44,Email,Beauty,Desktop,6.7,3,0.061,0,2,78.63,2025-01,Wednesday,False
T100150,2025-02-05,C1309,Female,25-34,Email,Beauty,Mobile,7.5,2,0.063,0,2,85.07,2025-02,Wednesday,False
T100151,2025-01-13,C1192,Female,55+,Paid Search,Beauty,Desktop,10.8,3,0.085,0,1,44.88,2025-01,Monday,False
T100152,2025-06-09,C1306,Male,25-34,Social,Fitness,Mobile,5.0,1,0.069,0,1,119.28,2025-06,Monday,False
T100153,2025-11-23,C1180,Female,45-54,Referral,Electronics,Mobile,9.7,4,0.056,1,1,326.03,2025-11,Sunday,True
T100154,2025-07-06,C1291,Male,25-34,Social,Fashion,Desktop,5.0,3,0.137,0,1,69.04,2025-07,Sunday,True
T100155,2025-08-31,C1281,Male,25-34,Email,Home,Desktop,10.4,1,0.125,1,1,62.91,2025-08,Sunday,True
T100156,2025-03-27,C1028,,45-54,Paid Search,Electronics,Desktop,8.4,1,0.053,0,1,170.42,2025-03,Thursday,False
T100157,2025-10-11,C1148,Female,25-34,Email,Fitness,Desktop,2.7,1,0.089,1,2,176.41,2025-10,Saturday,True
T100158,2025-03-07,C1266,Male,45-54,Paid Search,Fitness,Desktop,5.5,1,0.036,1,1,170.41,2025-03,Friday,False
T100159,2025-06-19,C1295,Male,55+,Organic Search,Home,Desktop,11.3,2,0.133,0,1,68.68,2025-06,Thursday,False
T100160,2025-02-14,C1010,Female,45-54,Email,Electronics,Mobile,11.0,2,0.105,0,4,427.14,2025-02,Friday,False
T100161,2025-03-03,C1163,Female,18-24,Email,Electronics,Desktop,8.0,2,0.112,1,1,243.03,2025-03,Monday,False
T100162,2025-05-14,C1112,Male,45-54,Referral,Home,Tablet,7.4,3,0.074,1,1,110.52,2025-05,Wednesday,False
T100163,2025-10-11,C1186,Female,25-34,Organic Search,Fashion,Desktop,7.1,3,0.117,0,1,129.97,2025-10,Saturday,True
T100164,2025-01-28,C1294,Female,45-54,Unknown,Electronics,Mobile,7.6,6,0.117,0,3,515.95,2025-01,Tuesday,False
T100165,2025-04-18,C1231,Female,35-44,Email,Home,Mobile,6.1,2,0.077,0,1,69.39,2025-04,Friday,False
T100166,2025-02-13,C1226,Male,45-54,Paid Search,Fashion,Desktop,9.5,3,0.048,0,1,56.35,2025-02,Thursday,False
T100167,2025-12-06,C1309,Male,25-34,Referral,Fashion,Mobile,7.9,4,0.095,1,1,107.78,2025-12,Saturday,True
T100168,2025-10-13,C1097,Male,35-44,Email,Home,Tablet,4.1,2,0.078,1,1,98.52,2025-10,Monday,False
T100169,2025-11-27,C1054,Female,18-24,Paid Search,Beauty,Mobile,8.1,5,0.138,0,1,34.77,2025-11,Thursday,False
T100170,2025-05-08,C1110,Female,45-54,Email,Beauty,Mobile,6.9,8,0.084,1,2,98.3,2025-05,Thursday,False
T100171,2025-12-14,C1151,Male,25-34,Organic Search,Fashion,Desktop,5.7,4,0.085,0,2,190.98,2025-12,Sunday,True
T100172,2025-08-19,C1245,Male,35-44,Email,Fashion,Mobile,11.2,3,0.106,1,2,166.16,2025-08,Tuesday,False
T100173,2025-07-09,C1068,Female,45-54,Social,Electronics,Mobile,6.8,1,0.082,0,2,431.25,2025-07,Wednesday,False
T100174,2025-08-13,C1311,Male,35-44,Social,Home,Desktop,1.6,1,0.103,0,1,86.65,2025-08,Wednesday,False
T100175,2025-10-10,C1288,,25-34,Social,Beauty,Desktop,5.9,2,0.066,0,2,69.55,2025-10,Friday,False
T100176,2025-05-01,C1249,Male,35-44,Paid Search,Fashion,Mobile,9.0,6,0.048,0,1,89.1,2025-05,Thursday,False
T100177,2025-04-26,C1035,Male,25-34,Social,Fitness,Tablet,4.2,2,0.055,1,1,100.97,2025-04,Saturday,True
T100178,2025-08-21,C1238,Non-binary,25-34,Organic Search,Fitness,Mobile,8.9,3,0.072,1,1,79.98,2025-08,Thursday,False
T100179,2025-09-16,C1147,Female,18-24,Paid Search,Fashion,Mobile,4.0,4,0.086,0,1,87.8,2025-09,Tuesday,False
T100180,2025-12-25,C1226,Male,25-34,Organic Search,Electronics,Mobile,9.8,3,0.097,1,1,186.17,2025-12,Thursday,False
T100181,2025-07-17,C1243,,25-34,Email,Electronics,Desktop,5.1,2,0.096,0,1,245.96,2025-07,Thursday,False
T100182,2025-05-17,C1200,Female,35-44,Email,Home,Mobile,5.6,4,0.082,1,1,133.51,2025-05,Saturday,True
T100183,2025-11-14,C1153,Male,18-24,Social,Home,Mobile,5.4,3,0.05,0,2,166.48,2025-11,Friday,False
T100184,2025-06-14,C1072,Male,25-34,Paid Search,Electronics,Mobile,8.0,4,0.103,0,1,235.12,2025-06,Saturday,True
T100185,2025-08-13,C1200,Male,55+,Organic Search,Electronics,Desktop,11.1,6,0.037,0,1,302.53,2025-08,Wednesday,False
T100186,2025-11-03,C1295,Male,18-24,Paid Search,Fitness,Mobile,6.5,4,0.047,1,2,248.11,2025-11,Monday,False
T100187,2025-08-22,C1016,Non-binary,35-44,Referral,Fashion,Desktop,6.5,6,0.083,1,1,88.43,2025-08,Friday,False
T100188,2025-06-21,C1128,Male,45-54,Referral,Beauty,Desktop,5.1,2,0.106,0,2,82.05,2025-06,Saturday,True
T100189,2025-06-01,C1216,Female,55+,Referral,Beauty,Mobile,2.4,6,0.101,0,1,71.66,2025-06,Sunday,True
T100190,2025-11-11,C1060,Male,45-54,Paid Search,Electronics,Mobile,5.3,3,0.079,0,3,696.57,2025-11,Tuesday,False
T100191,2025-06-09,C1103,Female,35-44,Email,Fashion,Mobile,3.4,4,0.095,1,1,73.76,2025-06,Monday,False
T100192,2025-04-06,C1041,Female,45-54,Organic Search,Fitness,Desktop,1.8,4,0.05,1,1,177.49,2025-04,Sunday,True
T100193,2025-08-21,C1024,Male,25-34,Email,Beauty,Mobile,6.3,4,0.065,0,1,44.77,2025-08,Thursday,False
T100194,2025-06-29,C1038,Male,45-54,Email,Electronics,Mobile,5.1,1,0.066,0,1,173.13,2025-06,Sunday,True
T100195,2025-04-23,C1290,Female,18-24,Organic Search,Electronics,Mobile,9.9,4,0.053,1,3,525.16,2025-04,Wednesday,False
T100196,2025-11-14,C1130,Non-binary,55+,Organic Search,Electronics,Desktop,4.4,4,0.071,0,1,214.76,2025-11,Friday,False
T100197,2025-02-21,C1228,Male,25-34,Referral,Beauty,Mobile,8.2,0,0.076,0,1,32.67,2025-02,Friday,False
T100198,2025-09-25,C1107,Male,35-44,Email,Fashion,Mobile,8.1,1,0.068,0,1,57.25,2025-09,Thursday,False
T100199,2025-10-22,C1171,Female,25-34,Paid Search,Fashion,Desktop,9.8,1,0.074,0,2,126.48,2025-10,Wednesday,False
T100200,2025-04-23,C1101,Male,45-54,Email,Beauty,Tablet,6.0,2,0.005,0,1,37.45,2025-04,Wednesday,False
T100201,2025-04-11,C1011,Male,18-24,Referral,Fashion,Desktop,9.8,5,0.094,1,4,267.15,2025-04,Friday,False
T100202,2025-04-23,C1274,Male,45-54,Social,Fashion,Mobile,7.9,1,0.07,0,1,68.05,2025-04,Wednesday,False
T100203,2025-03-22,C1100,Female,45-54,Social,Electronics,Mobile,9.3,3,0.07,1,1,285.88,2025-03,Saturday,True
T100204,2025-07-06,C1043,Female,25-34,Referral,Home,Mobile,12.5,8,0.04,0,1,114.44,2025-07,Sunday,True
T100205,2025-04-23,C1304,Female,45-54,Organic Search,Fashion,Mobile,6.2,3,0.129,1,2,139.01,2025-04,Wednesday,False
T100206,2025-01-02,C1016,Female,45-54,Paid Search,Home,Mobile,6.9,6,0.13,1,2,172.48,2025-01,Thursday,False
T100207,2025-05-10,C1056,Female,35-44,Paid Search,Fashion,Desktop,5.6,3,0.032,1,1,89.83,2025-05,Saturday,True
T100208,2025-08-08,C1310,Non-binary,25-34,Organic Search,Fashion,Mobile,10.4,3,0.075,0,1,68.85,2025-08,Friday,False
T100209,2025-02-23,C1302,Male,25-34,Paid Search,Fitness,Mobile,13.0,3,0.11,0,2,238.4,2025-02,Sunday,True
